series_name	series_display_name	series_display_name_reading	series_slug
コミックマーケット	コミックマーケット	こみっくまーけっと	comic-market
博麗神社例大祭	博麗神社例大祭	はくれいじんじゃれいたいさい	reitaisai
東方紅楼夢	東方紅楼夢	とうほうこうろうむ	kouroumu
M3	M3	えむすりー	m3
東方名華祭	東方名華祭	とうほうめいかさい	meikasai
大⑨州東方祭	大⑨州東方祭	だいきゅうしゅうとうほうさい	daikyuushuu-touhousai
科学世紀のカフェテラス	科学世紀のカフェテラス	かがくせいきのかふぇてらす	kagaku-seiki-no-cafe-terrace
APOLLO	APOLLO	あぽろ	apollo
境界から視えた外界	境界から視えた外界	きょうかいからみえたがいかい	kyoukai-kara-mieta-gaikai
東方神居祭	東方神居祭	とうほうかむいさい	kamuisai
サンシャインクリエイション	サンシャインクリエイション	さんしゃいんくりえーしょん	sunshine-creation
東方ルナティックリリース	東方ルナティックリリース	とうほうるなてぃっくりりーす	lunatic-release
遊音ファンタジウム	遊音ファンタジウム	ゆうおんふぁんたじうむ	yuuon-fantajiumu
紅のひろば	紅のひろば	あかのひろば	aka-no-hiroba
幺樂団カァニバル！	幺樂団カァニバル！	ようがくだんかぁにばる	yougakudan-carnival
月の宴	月の宴	つきのうたげ	tsuki-no-utage
東方椰麟祭	東方椰麟祭	とうほうやりんさい	yarinsai
とら祭り	とら祭り	とらまつり	tora-matsuri
東方不敗小町	東方不敗小町	とうほうふはいこまち	fuhai-komachi
紅月ノ宴	紅月ノ宴	あかつきのうたげ	akatsuki-no-utage
BOOTH Festival	BOOTH Festival	ぶーすふぇすてぃばる	booth-festival
東方崇敬祭	東方崇敬祭	とうほうすうけいさい	suukeisai
新潟東方祭	新潟東方祭	にいがたとうほうさい	niigata-touhousai
COMIC1☆	COMIC1☆	こみっくいち	comic1
こみっくトレジャー	こみっくトレジャー	こみっくとれじゃー	comic-treasure
文々。新聞友の会	文々。新聞友の会	ぶんぶんまるしんぶんとものかい	bunbunmaru-shinbun-tomonokai
恋のまほうは魔理沙におまかせ！	恋のまほうは魔理沙におまかせ！	こいのまほうはまりさにおまかせ	koi-no-mahou-wa-marisa-ni-omakase
夢の世紀 魅知の旅	夢の世紀 魅知の旅	ゆめのせいきみちのたび	yume-no-seiki-michi-no-tabi
東方駿河祭	東方駿河祭	とうほうするがさい	surugasai
幻想神楽	幻想神楽	げんそうかぐら	gensou-kagura
Comic Communication	Comic Communication	こみっくこみゅにけーしょん	comic-communication
金沢東方祭	金沢東方祭	かなざわとうほうさい	kanazawa-touhousai
音楽ライブ	音楽ライブ	おんがくらいぶ	ongaku-live
東方幻楽祭	東方幻楽祭	とうほうげんがくさい	gengakusai
古明地こんぷれっくす	古明地こんぷれっくす	こめいじこんぷれっくす	komeiji-complex
杜の奇跡	杜の奇跡	もりのきせき	mori-no-kiseki
東方甲州祭	東方甲州祭	とうほうこうしゅうさい	koushuusai
COMICUP	COMICUP	こみっくあっぷ	comicup
東方想七日	東方想七日	とうほうそうなのか	sou-nanoka
東方晴天祭	東方晴天祭	とうほうせいてんさい	seitensai
東方絢文禄	東方絢文禄	とうほうけんぶんろく	kenbunroku
御射宮司祭	御射宮司祭	みしゃぐうじさい	mishagujisai
七色魔女の人形舞踏会。	七色魔女の人形舞踏会。	なないろまじょのにんぎょうぶとうかい	nanairo-majo-no-ningyou-butoukai
東方螺茶会	東方螺茶会	とうほうらちゃかい	rachakai
華激ノ宴	華激ノ宴	かげきのうたげ	kageki-no-utage
東方まんがまつり	東方まんがまつり	とうほうまんがまつり	manga-matsuri
幻想郷サミット	幻想郷サミット	げんそうきょうさみっと	gensoukyou-summit
東方杜郷想	東方杜郷想	とうほうときょうそう	tokyousou
