series_name	series_display_name	series_display_name_reading	series_slug
東方名月祭	東方名月祭	とうほうめいげつさい	meigetsusai
求代目の紅茶会	求代目の紅茶会	きゅうだいめのこうちゃかい	kyuudaime-no-kouchakai
東方いよしこく祭	東方いよしこく祭	とうほういよしこくさい	iyoshikokusai
東方ざふぇすた	東方ざふぇすた	とうほうざふぇすた	zafesuta
東方蝦夷祭	東方蝦夷祭	とうほうえぞさい	ezosai
すいかといっしょ	すいかといっしょ	すいかといっしょ	suika-to-issho
東方北陸祭	東方北陸祭	とうほうほくりくさい	hokurikusai
Comic Frontier	Comic Frontier	こみっくふろんてぃあ	comic-frontier
東方奏麗祭	東方奏麗祭	とうほうそうれいさい	soureisai
小春小径	小春小径	こはるこみち	koharu-komichi
京都東方合同	京都東方合同	きょうととうほうごうどう	kyouto-touhou-goudou
東方季奏宴	東方季奏宴	とうほうきそうえん	kisouen
東方幻想紅魔祭	東方幻想紅魔祭	とうほうげんそうこうまさい	touhou-gensou-koumasai
ようせいげんき!	ようせいげんき!	ようせいげんき	yousei-genki
東方兎月祭	東方兎月祭	とうほうとげつさい	togetsusai
山梨コミックチャレンジ	山梨コミックチャレンジ	やまなしこみっくちゃれんじ	yamanashi-comic-challenge
東方上州祭	東方上州祭	とうほうじょうしゅうさい	joushuusai
アンダーグラウンドカーニバル	アンダーグラウンドカーニバル	あんだーぐらうんどかーにばる	underground-carnival
幻想郷の交響楽団	幻想郷の交響楽団	げんそうきょうのこうきょうがくだん	gensoukyou-no-koukyou-gakudan
天狗様のお仕事	天狗様のお仕事	てんぐさまのおしごと	tengu-sama-no-oshigoto
エンジニアワルツ	エンジニアワルツ	えんじにあわるつ	engineer-waltz
魅知幻想博覧会	魅知幻想博覧会	みちげんそうはくらんかい	michi-gensou-hakurankai
げんましん	げんましん	げんましん	genmashin
鈴奈幻想絵巻	鈴奈幻想絵巻	すずなげんそうえまき	suzuna-gensou-emaki
東方蓬莱祭	東方蓬莱祭	とうほうほうらいさい	houraisai
地獄極楽メルトダウン	地獄極楽メルトダウン	じごくごくらくめるとだうん	jigoku-gokuraku-meltdown
草の根妖怪大会議	草の根妖怪大会議	くさのねようかいたいかいぎ	kusanone-youkai-taikaigi
幽明櫻	幽明櫻	ゆうめいさくら	yuumei-sakura
東方四国祭	東方四国祭	とうほうしこくさい	shikokusai
命蓮寺大縁日	命蓮寺大縁日	みょうれんじだいえんにち	myourenji-daiennichi
蓬莱カレイドスコオプ	蓬莱カレイドスコオプ	ほうらいかれいどすこおぷ	hourai-kaleidoscope
博多東方祭	博多東方祭	はかたとうほうさい	hakata-touhousai
博麗神社の縁側	博麗神社の縁側	はくれいじんじゃのえんがわ	hakurei-jinja-no-engawa
後戸天空満天祭	後戸天空満天祭	うしろどてんくうまんてんさい	ushirodo-tenkuu-mantensai
森羅万象ノ宴	森羅万象ノ宴	しんらばんしょうのうたげ	shinra-banshou-no-utage
東方素芸祭	東方素芸祭	とうほうそげいさい	sogeisai
人形遣いのTea Party	人形遣いのTea Party	にんぎょうつかいのてぃーぱーてぃー	ningyou-tsukai-no-tea-party
チルノの日の休日祭「あ大祭」	チルノの日の休日祭「あ大祭」	ちるののひのきゅうじつさいあたいさい	chiruno-no-hi-no-kyuujitsusai-ataisai
響灯小町祭	響灯小町祭	きょうとうこまちさい	kyoutou-komachisai
中四国東方祭	中四国東方祭	ちゅうしこくとうほうさい	chuushikoku-touhousai
東方遊宴雀	東方遊宴雀	とうほうゆうえんじゃく	yuuenjaku
東方合同イベント	東方合同イベント	とうほうごうどういべんと	goudou-event
このはな咲夜	このはな咲夜	このはなさくや	konohana-sakuya
Unknown Girls	Unknown Girls	あんのうんがーるず	unknown-girls
翔んで豪徳寺～招き猫に愛をこめて～	翔んで豪徳寺～招き猫に愛をこめて～	とんでごうとくじまねきねこにあいをこめて	tonde-goutokuji-manekineko-ni-ai-wo-komete
龍珠神無月虹祭	龍珠神無月虹祭	りゅうじゅかんなづきにじさい	ryuuju-kannaduki-nijisai
東方遊劇天	東方遊劇天	とうほうゆうげきてん	yuugekiten
地獄鬼獣極楽祭	地獄鬼獣極楽祭	じごくきじゅうごくらくさい	jigoku-kijuu-gokurakusai
るなフェス	るなフェス	るなふぇす	luna-fes
東方札幌宴	東方札幌宴	とうほうさっぽろうたげ	sapporo-utage
東方ヒットパレェド	東方ヒットパレェド	とうほうひっとぱれーど	hit-parade
諏訪子ランド	諏訪子ランド	すわこらんど	suwako-land
東方不夜城	東方不夜城	とうほうふやじょう	fuyajou
東方信州祭	東方信州祭	とうほうしんしゅうさい	shinshuusai
秋葉原超同人祭	秋葉原超同人祭	あきはばらちょうどうじんさい	akihabara-chou-doujinsai
幻想肥後ノ祭典	幻想肥後ノ祭典	げんそうひごのさいてん	gensou-higo-nosaiten
東方姫草紙	東方姫草紙	とうほうひめぞうし	himezoushi
博多妖桜祭	博多妖桜祭	はかたようおうさい	hakata-youousai
仙仏蒐合	仙仏蒐合	せんぶつしゅうごう	senbutsu-shuugou
東方雅樂多箱	東方雅樂多箱	とうほうががくたばこ	gagakutabako
Creative Paradise	Creative Paradise	くりえいてぃぶぱらだいす	creative-paradise
どこもかしこも幻想郷	どこもかしこも幻想郷	どこもかしこもげんそうきょう	dokomo-kashikomo-gensoukyou
ゆゆみょん!	ゆゆみょん!	ゆゆみょん	yuyumyon
とれじゃーぱーてぃー	とれじゃーぱーてぃー	とれじゃーぱーてぃー	treasure-party
上海THONLY	上海東方ONLY	しゃんはいとうほうおんりー	shanghai-th-only
南京THONLY	南京東方ONLY	なんきんとうほうおんりー	nankin-th-only
もりや神社例大祭	もりや神社例大祭	もりやじんじゃれいたいさい	moriya-jinja-reitaisai
諏訪風神祭	諏訪風神祭	すわふうじんさい	suwa-fuujinsai
東方輝針祭	東方輝針祭	とうほうきしんさい	kishinsai
東方霊鷲山	東方霊鷲山	とうほうりょうじゅざん	ryouju-zan
幼猫跋扈	幼猫跋扈	ようねこばっこ	youneko-bakko
妖精大戦争！	妖精大戦争！	ようせいたいせんそう	yousei-taisensou
東方鈴仙祭	東方鈴仙祭	とうほうれいせんさい	reisensai
みょうれんパーティー	みょうれんパーティー	みょうれんぱーてぃー	myouren-party
眼鏡☆天国	眼鏡☆天国	めがねてんごく	megane-tengoku
八雲立つ	八雲立つ	やくもたつ	yakumo-tatsu
七曜魔女の舞踏会。	七曜魔女の舞踏会。	しちようまじょのぶとうかい	shichiyou-majo-no-butoukai
Fancy Frontier	Fancy Frontier	ふぁんしーふろんてぃあ	fancy-frontier
東方蛍光祭	東方蛍光祭	とうほうけいこうさい	keikousai
諏訪洩矢ケロケロ祭	諏訪洩矢ケロケロ祭	すわもりやけろけろさい	suwa-moriya-kerokerosai
東方絢櫻祭	東方絢櫻祭	とうほうけんおうさい	kenousai
YACA	YACA	やか	yaca
