id	product_id	track_number	name	composer	arranger	source_id	is_original
01010001	0101	1	A Sacred Lot	ZUN			1
01010002	0101	2	永遠の巫女	ZUN			1
01010003	0101	3	The Positive and Negative	ZUN			1
01010004	0101	4	Highly Responsive to Prayers	ZUN			1
01010005	0101	5	東方怪奇談	ZUN			1
01010006	0101	6	天使伝説	ZUN			1
01010007	0101	7	Oriental Magician	ZUN			1
01010008	0101	8	破邪の小太刀	ZUN			1
01010009	0101	9	魔鏡	ZUN			1
01010010	0101	10	the Legend of KAGE	ZUN			1
01010011	0101	11	いざ、倒れ逝くその時まで	ZUN			1
01010012	0101	12	死なばもろとも	ZUN			1
01010013	0101	13	星幽剣士	ZUN			1
01010014	0101	14	アイリス	ZUN			1
01010015	0101	15	風の神社	ZUN			1
01020001	0102	1	東方封魔録　～ 浄土曼荼羅	ZUN			1
01020002	0102	2	博麗　～ Eastern Wind	ZUN			1
01020003	0102	3	She's in a temper!!	ZUN			1
01020004	0102	4	End of Daylight	ZUN			1
01020005	0102	5	やみのちから	ZUN			1
01020006	0102	6	幻夢界	ZUN			1
01020007	0102	7	死を賭して	ZUN			1
01020008	0102	8	ひもろぎ、むらさきにもえ	ZUN			1
01020009	0102	9	恋色マジック	ZUN			1
01020010	0102	10	東方封魔録　～ 幽幻乱舞	ZUN			1
01020011	0102	11	Complete Darkness	ZUN			1
01020012	0102	12	エキストララブ	ZUN			1
01020013	0102	13	戦車むすめのみるゆめ	ZUN			1
01020014	0102	14	遠野の森	ZUN			1
01020015	0102	15	昔話わんだーらんど	ZUN			1
01020016	0102	16	博麗神社境内	ZUN			1
01020017	0102	17	陽落ちて	ZUN			1
01020018	0102	18	封魔終演	ZUN			1
01030001	0103	1	夢は時空を越えて	ZUN			1
01030002	0103	2	Selection	ZUN			1
01030003	0103	3	東方妖恋談	ZUN			1
01030004	0103	4	Reincarnation	ZUN			1
01030005	0103	5	Dim. Dream	ZUN			1
01030006	0103	6	Tabula rasa　～ 空白少女	ZUN			1
01030007	0103	7	Maniacal Princess	ZUN			1
01030008	0103	8	夢消失　～ Lost Dream	ZUN			1
01030009	0103	9	夢幻遊戯　～ Dream War	ZUN			1
01030010	0103	10	魔法決戦！　～ Fight it out!	ZUN			1
01030011	0103	11	Sailor of Time	ZUN			1
01030012	0103	12	Strawberry Crisis!!	ZUN			1
01030013	0103	13	非統一魔法世界論	ZUN			1
01030014	0103	14	魔法鐘愛	ZUN			1
01030015	0103	15	久遠の夢	ZUN			1
01030016	0103	16	東方の青い空	ZUN			1
01030017	0103	17	永遠の満月	ZUN			1
01030018	0103	18	Maple Dream...	ZUN			1
01030019	0103	19	霊人の休日	ZUN			1
01030020	0103	20	勝利デモ	ZUN			1
01030021	0103	21	ゲームオーバー	ZUN			1
01030022	0103	22	時の風	ZUN			1
01030023	0103	23	スターボウドリーム	ZUN			1
01030024	0103	24	Phantasmagoria	ZUN			1
01040001	0104	1	幻想郷　～ Lotus Land Story	ZUN			1
01040002	0104	2	Witching Dream	ZUN			1
01040003	0104	3	Selene's light	ZUN			1
01040004	0104	4	装飾戦　～ Decoration Battle	ZUN			1
01040005	0104	5	Break the Sabbath	ZUN			1
01040006	0104	6	紅響曲　～ Scarlet Phoneme	ZUN			1
01040007	0104	7	Bad Apple!!	ZUN			1
01040008	0104	8	霊戦　～ Perdition crisis	ZUN			1
01040009	0104	9	アリスマエステラ	ZUN			1
01040010	0104	10	少女綺想曲　～ Capriccio	ZUN			1
01040011	0104	11	星の器　～ Casket of Star	ZUN			1
01040012	0104	12	Lotus Love	ZUN			1
01040013	0104	13	眠れる恐怖　～ Sleeping Terror	ZUN			1
01040014	0104	14	Dream Land	ZUN			1
01040015	0104	15	幽夢　～ Inanimate Dream	ZUN			1
01040016	0104	16	禁じざるをえない遊戯	ZUN			1
01040017	0104	17	メイド幻想　～ Icemilk Magic	ZUN			1
01040018	0104	18	かわいい悪魔　～ Innocence	ZUN			1
01040019	0104	19	Days	ZUN			1
01040020	0104	20	Peaceful	ZUN			1
01040021	0104	21	Arcadian Dream	ZUN			1
01040022	0104	22	幻想の住人	ZUN			1
01040023	0104	23	Lotus Road	ZUN			1
01040024	0104	24	Dreamy pilot	ZUN			1
01040025	0104	25	Incomplete Plot	ZUN			1
01040026	0104	26	Border Land	ZUN			1
01040027	0104	27	Magic Shop of Raspberry	ZUN			1
01040028	0104	28	Crescent Dream	ZUN			1
01050001	0105	1	怪綺談　～ Mystic Square	ZUN			1
01050002	0105	2	Dream Express	ZUN			1
01050003	0105	3	魔法陣　～ Magic Square	ZUN			1
01050004	0105	4	夢想時空	ZUN			1
01050005	0105	5	霊天　～ Spiritual Heaven	ZUN			1
01050006	0105	6	Romantic Children	ZUN			1
01050007	0105	7	プラスチックマインド	ZUN			1
01050008	0105	8	メイプルワイズ	ZUN			1
01050009	0105	9	禁断の魔法　～ Forbidden Magic	ZUN			1
01050010	0105	10	真紅の少女　～ Crimson Dead!!	ZUN			1
01050011	0105	11	裏切りの少女　～ Judas Kiss	ZUN			1
01050012	0105	12	the Last Judgement	ZUN			1
01050013	0105	13	悲しき人形　～ Doll of Misery	ZUN			1
01050014	0105	14	世界の果て　～ World's End	ZUN			1
01050015	0105	15	神話幻想　～ Infinite Being	ZUN			1
01050016	0105	16	不思議の国のアリス	ZUN			1
01050017	0105	17	the Grimoire of Alice	ZUN			1
01050018	0105	18	神社	ZUN			1
01050019	0105	19	Endless	ZUN			1
01050020	0105	20	久遠の楽園	ZUN			1
01050021	0105	21	Mystic Dream	ZUN			1
01050022	0105	22	Peaceful Romancer	ZUN			1
01050023	0105	23	魂の休らむ所	ZUN			1
02010001	0201	1	赤より紅い夢	ZUN			1
02010002	0201	2	ほおずきみたいに紅い魂	ZUN			1
02010003	0201	3	妖魔夜行	ZUN			1
02010004	0201	4	ルーネイトエルフ	ZUN			1
02010005	0201	5	おてんば恋娘	ZUN			1
02010006	0201	6	上海紅茶館　～ Chinese Tea	ZUN			1
02010007	0201	7	明治十七年の上海アリス	ZUN			1
02010008	0201	8	ヴワル魔法図書館	ZUN			1
02010009	0201	9	ラクトガール　～ 少女密室	ZUN			1
02010010	0201	10	メイドと血の懐中時計	ZUN			1
02010011	0201	11	月時計　～ ルナ・ダイアル	ZUN			1
02010012	0201	12	ツェペシュの幼き末裔	ZUN			1
02010013	0201	13	亡き王女の為のセプテット	ZUN			1
02010014	0201	14	魔法少女達の百年祭	ZUN			1
02010015	0201	15	U.N.オーエンは彼女なのか？	ZUN			1
02010016	0201	16	紅より儚い永遠	ZUN			1
02010017	0201	17	紅楼　～ Eastern Dream...	ZUN			1
02020001	0202	1	妖々夢　～ Snow or Cherry Petal	ZUN			1
02020002	0202	2	無何有の郷　～ Deep Mountain	ZUN			1
02020003	0202	3	クリスタライズシルバー	ZUN			1
02020004	0202	4	遠野幻想物語	ZUN			1
02020005	0202	5	ティアオイエツォン(withered leaf)	ZUN			1
02020006	0202	6	ブクレシュティの人形師	ZUN			1
02020007	0202	7	人形裁判　～ 人の形弄びし少女	ZUN			1
02020008	0202	8	天空の花の都	ZUN			1
02020009	0202	9	幽霊楽団　～ Phantom Ensemble	ZUN			1
02020010	0202	10	東方妖々夢　～ Ancient Temple	ZUN			1
02020011	0202	11	広有射怪鳥事　～ Till When?	ZUN			1
02020012	0202	12	アルティメットトゥルース	ZUN			1
02020013	0202	13	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN			1
02020014	0202	14	ボーダーオブライフ	ZUN			1
02020015	0202	15	妖々跋扈	ZUN			1
02020016	0202	16	少女幻葬　～ Necro-Fantasy	ZUN			1
02020017	0202	17	妖々跋扈　～ Who done it!	ZUN			1
02020018	0202	18	ネクロファンタジア	ZUN			1
02020019	0202	19	春風の夢	ZUN			1
02020020	0202	20	さくらさくら　～ Japanize Dream...	ZUN			1
02020021	0202	21	過去の花　～ Fairy of Flower	ZUN			1
02030001	0203	1	萃夢想	U2			1
02030002	0203	2	東方妖恋談	ZUN	NKZ	01030003	0
02030003	0203	3	少女綺想曲　～ Capriccio	ZUN	U2	01040010	0
02030004	0203	4	恋色マジック	ZUN	NKZ	01020009	0
02030005	0203	5	魔女達の舞踏会　～ Magus	ZUN	U2		1
02030006	0203	6	メイドと血の懐中時計	ZUN	NKZ	02010010	0
02030007	0203	7	月時計　～ ルナ・ダイアル	ZUN	U2	02010011	0
02030008	0203	8	ブクレシュティの人形師	ZUN	NKZ	02020006	0
02030009	0203	9	人形裁判	ZUN	U2	02020007	0
02030010	0203	10	ラクトガール　～ 少女密室	ZUN	NKZ	02010009	0
02030011	0203	11	ヴワル魔法図書館	ZUN	U2	02010008	0
02030012	0203	12	広有射怪鳥事　～ Till When？	ZUN	NKZ	02020011	0
02030013	0203	13	東方妖々夢　～ Ancient Temple	ZUN	U2	02020010	0
02030014	0203	14	亡き王女の為のセプテット	ZUN	NKZ	02010013	0
02030015	0203	15	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN	NKZ	02020013	0
02030016	0203	16	Demystify Feast	ZUN			1
02030017	0203	17	夜が降りてくる　～ Evening Star	ZUN			1
02030018	0203	18	御伽の国の鬼が島　～ Missing Power	ZUN			1
02030019	0203	19	夏明き	NKZ			1
02030020	0203	20	東方萃夢想	U2			1
02030021	0203	21	魔所	NKZ			1
02030022	0203	22	月輪	NKZ			1
02030023	0203	23	遍参	NKZ			1
02030024	0203	24	裏心	NKZ			1
02030025	0203	25	Intermezzo	NKZ			1
02030026	0203	26	あゆのかぜ	NKZ			1
02030027	0203	27	森閑	U2			1
02030028	0203	28	仰空	U2			1
02030029	0203	29	幽境	U2			1
02030030	0203	30	珍客	U2			1
02030031	0203	31	紅夜	U2			1
02030032	0203	32	戦迅	U2			1
02030033	0203	33	禍機	U2			1
02030034	0203	34	砕月	U2			1
02040001	0204	1	永夜抄　～ Eastern Night.	ZUN			1
02040002	0204	2	幻視の夜　～ Ghostly Eyes	ZUN			1
02040003	0204	3	蠢々秋月　～ Mooned Insect	ZUN			1
02040004	0204	4	夜雀の歌声　～ Night Bird	ZUN			1
02040005	0204	5	もう歌しか聞こえない	ZUN			1
02040006	0204	6	懐かしき東方の血　～ Old World	ZUN			1
02040007	0204	7	プレインエイジア	ZUN			1
02040008	0204	8	永夜の報い　～ Imperishable Night.	ZUN			1
02040009	0204	9	少女綺想曲　～ Dream Battle	ZUN			1
02040010	0204	10	恋色マスタースパーク	ZUN			1
02040011	0204	11	シンデレラケージ　～ Kagome-Kagome	ZUN			1
02040012	0204	12	狂気の瞳　～ Invisible Full Moon	ZUN			1
02040013	0204	13	ヴォヤージュ1969	ZUN			1
02040014	0204	14	千年幻想郷　～ History of the Moon	ZUN			1
02040015	0204	15	竹取飛翔　～ Lunatic Princess	ZUN			1
02040016	0204	16	ヴォヤージュ1970	ZUN			1
02040017	0204	17	エクステンドアッシュ　～ 蓬莱人	ZUN			1
02040018	0204	18	月まで届け、不死の煙	ZUN			1
02040019	0204	19	月見草	ZUN			1
02040020	0204	20	Eternal Dream　～ 幽玄の槭樹	ZUN			1
02040021	0204	21	東方妖怪小町	ZUN			1
02050001	0205	1	花映塚　～ Higan Retour	ZUN			1
02050002	0205	2	春色小径　～ Colorful Path	ZUN			1
02050003	0205	3	オリエンタルダークフライト	ZUN			1
02050004	0205	4	フラワリングナイト	ZUN			1
02050005	0205	5	東方妖々夢　～ Ancient Temple	ZUN		02020010	0
02050006	0205	6	狂気の瞳　～ Invisible Full Moon	ZUN		02040012	0
02050007	0205	7	おてんば恋娘の冒険	ZUN			1
02050008	0205	8	幽霊楽団　～ Phantom Ensemble	ZUN		02020009	0
02050009	0205	9	もう歌しか聞こえない　～ Flower Mix	ZUN			1
02050010	0205	10	お宇佐さまの素い幡	ZUN			1
02050011	0205	11	風神少女　 (Short Version)	ZUN			1
02050012	0205	12	ポイズンボディ　～ Forsaken Doll	ZUN			1
02050013	0205	13	今昔幻想郷　～ Flower Land	ZUN			1
02050014	0205	14	彼岸帰航　～ Riverside View	ZUN			1
02050015	0205	15	六十年目の東方裁判　～ Fate of Sixty Years	ZUN			1
02050016	0205	16	花の映る塚	ZUN			1
02050017	0205	17	此岸の塚	ZUN			1
02050018	0205	18	花は幻想のままに	ZUN			1
02050019	0205	19	魂の花　～ Another Dream...	ZUN			1
02060001	0206	1	天狗の手帖　～ Mysterious Note	ZUN			1
